Index|Steel|C|Mn|Cr|Ni|V|Mo|W|Co|Si|S|P|Rw|Type|cluster|d0|d1|d2|d3|d4|d5|d6|d7|d8|d9|d10|d11|d12|d13|d14
69|M390|1.9|0.3|20.0|0.0|4.0|1.0|0.6|0.0|0.0|0.0|0.0|61.0|Stainless|12|5.803817709060133|8.581071946342094|18.91494375001751|12.586614010527216|11.847556710140704|6.356123194693106|6.103799185753082|7.699945887255746|15.881826091479532|16.17852019396912|10.123765356822528|5.947612966560619|1.3693622826792355|20.08966463134714|11.462971788424772
70|N680|0.54|0.4|17.3|0.5|0.1|1.1|0.0|0.0|0.0|0.0|0.0|55.5|Stainless|6|4.297801763692691|4.879295961676506|15.804300949263716|10.123667924719776|12.265129432663972|2.2514141561426095|1.9595623235814676|4.394553447166163|15.591279613938042|13.381085494084553|12.62312263269275|2.654398864777737|4.815203176674174|16.935868002555996|8.539398235368944
71|N690|1.07|0.0|17.0|0.0|0.1|0.0|0.0|1.5|0.0|0.0|0.0|60.0|Stainless|11|4.49619839419926|4.767234451936248|15.554258899846992|10.035952981655504|12.037175748488513|2.50284424981719|2.421987716731858|5.19853184402417|15.430304598419307|13.235611646866445|12.680241519781868|2.0903109816484253|5.066745523911935|16.703988296212376|8.47975759611611
72|N695|1.05|0.4|16.7|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|58.0|Stainless|1|3.977914026220275|4.201231172804817|15.173346600744562|9.596736541658315|12.001524903111271|1.5742046397892113|1.4120426693269565|4.377404101367232|15.152224259164065|12.818359840478813|12.551618421542297|2.2093588813650595|4.96773261628872|16.333206206988265|7.9923227050853125
73|O-1|0.925|1.2|0.5|0.3|0.3|0.0|0.5|0.0|0.5|0.03|0.03|53.5|Non_Stainless|2|14.27754268072766|12.068156910833144|1.302161360655304|7.735934801302297|13.368630258930791|14.807082911189596|14.977828263803802|14.199058360797496|10.810787436630136|4.48140907899885|18.138303393647377|14.993538330449775|18.759018960141248|1.1221853679316975|8.727281777404821
74|RWL-34|1.05|0.5|14.0|0.0|0.2|4.0|0.0|0.0|0.0|0.0|0.0|61.5|Stainless|7|3.7703845957673865|3.9890636848303958|13.043911713156152|7.353390527504982|10.231646983746067|3.7762092912827603|3.6645824455181795|0.09128709291752661|13.335287773422815|10.392321636670028|11.99096013670298|3.6306014194161635|7.080340704358507|14.178103716647017|5.793722656653684
75|Sandvik 12C27|0.6|0.4|13.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|58.0|Stainless|1|3.6075337836255947|1.0508660989027714|11.976925908144532|6.77228560015007|10.67897935197929|1.927936313717875|2.1405056645568594|4.077070026379237|13.002399778502427|9.779801412435054|12.449121454946127|2.7193320258230074|7.05150512229807|13.131703050252089|5.09506842174099
76|Sandvik 12C27Mod|0.52|0.6|14.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|56.0|Stainless|1|3.548844882493457|2.030147903529219|12.975852515148976|7.67084429838072|11.088850256000395|1.006050908131426|1.3007399817027232|4.066558741737293|13.669850035753866|10.752685664521215|12.46671668884795|2.209577636864867|6.375476132679609|14.130223812806365|6.025788099678102
77|Sandvik 13C26|0.68|0.6|12.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|63.0|Stainless|1|3.7967222705907786|0.525661067440922|11.372780282412954|6.264076328557946|10.46859111819733|2.452084877799683|2.6764910797534895|4.196931418707402|12.618747956909196|9.212396485171489|12.470566346401434|3.1538494996855286|7.496426495609867|12.532869783094375|4.57188388109565
78|Sandvik 14C28N|0.62|0.6|14.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|58.5|Stainless|1|3.537838323044172|1.5323109020953523|12.473368999960824|7.218646150768162|10.863912738972088|1.4173125249529237|1.679501265257041|4.0337203671052855|13.322492259333462|10.26698181875602|12.434750701160034|2.420378758238745|6.692905320759667|13.630415437542615|5.55794826252358
79|Sleipner|0.9|0.5|7.8|0.0|0.5|2.5|0.0|0.0|0.9|0.06|0.03|62.0|Non_Stainless|14|7.172224201738258|5.294571391953252|6.728792605175864|2.4448256072775414|9.223291169642213|7.818380573583537|7.924422029397476|6.530211839340792|9.793288518163855|4.389193813598727|13.212498817407704|7.877728098887394|11.787933124468376|7.864771134623053|1.7466984729928507
80|T5MoV|0.5|0.0|14.0|0.0|0.15|0.35|0.0|0.0|0.0|0.0|0.0|57.0|Stainless|1|3.2705198363562937|1.5809311709707474|12.493318668473995|7.096890322528593|10.67567796441987|1.6154319075510073|1.7168763787762942|3.7292760691587308|13.209557146248317|10.19368345267467|12.261856507071021|2.287524134663209|6.578982459627144|13.64276823082471|5.431364674022747
81|T6MoV|0.6|0.0|14.2|0.23|0.1|0.65|0.0|0.0|0.0|0.0|0.0|57.0|Stainless|1|3.178631781128478|1.8007711405618068|12.6971536712777|7.243221123919937|10.711139061743154|1.4693759568195413|1.4479138441219501|3.4314088457464034|13.348700311266262|10.359613039748798|12.23842412241053|2.1059835390303183|6.427328610023336|13.836781598334202|5.5673263082221265
82|VASCOWEAR|1.12|0.3|7.75|0.0|2.4|1.6|1.1|0.0|1.2|0.0|0.0|60.0|Non_Stainless|3|6.846371301645857|5.7087068451215295|6.9177529326910125|0.19710974100738904|7.613448627264781|8.15923917312745|8.2383083518402|7.297835295483174|7.967201516216344|4.02865763416716|11.692113795204012|8.081918089166704|11.286922720112685|8.062116657553398|1.98828792907086
83|VG-10|1.0|0.5|15.0|0.0|0.2|1.05|0.0|1.4|0.0|0.0|0.0|60.0|Stainless|11|3.287978102116861|2.9507401066293095|13.569062918820077|8.020807456235312|10.630503280654215|1.5533782167577608|1.6000670298459374|3.392393452023708|13.827685995856285|11.186540230711788|12.088139848628488|0.6906036007242741|5.882948379227296|14.728429142308423|6.404078561527975
84|W-1|1.1|0.25|0.15|0.2|0.1|0.1|0.5|0.0|0.25|0.025|0.025|61.0|Non_Stainless|2|14.592602578018768|12.386694975455155|1.5186403441559027|8.047361508593982|13.67257656771393|15.161573955014976|15.316161872349092|14.483884722914175|11.098317440044685|4.6306351976087825|18.474966170469703|15.307847116212434|19.09782082343642|0.9860907666132972|9.02173147953811
85|White Steel|1.4|0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.15|0.004|0.025|65.0|Non_Stainless|2|14.75206565196888|12.53853236591733|1.6929946191917573|8.301564988000756|13.846668949606617|15.316488066867004|15.475293389787478|14.649879669585458|11.228311582780378|4.986203900096077|18.63206284875617|15.459966828338711|19.259424625838836|1.224261409993797|9.1937139696401
86|X-15 TN|0.42|0.46|15.55|0.3|0.29|1.7|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|6|3.180047169461485|3.37397752211361|14.11171954422628|8.404495954547187|11.047547239093392|1.4158140198638292|1.156872724200895|2.8203014023327375|14.169297794880311|11.636456319114798|12.070034175593705|1.8627309700186623|5.512975232881728|15.250423764604053|6.7880769654511806
87|YK-30|1.05|1.0|0.5|0.25|0.0|0.0|0.0|0.0|0.4|0.0|0.03|58.0|Non_Stainless|2|14.306124562578084|12.042839426920256|1.1402029558864701|7.860073298004288|13.550830232867652|14.793170176953199|14.963273856345744|14.178683530803085|11.038265262259284|4.674032769818086|18.306188161384117|14.982367414175012|18.811099958074042|0.8806389725648076|8.733202289093173
88|ZDP-189|3.0|0.5|20.0|0.0|0.0|1.4|0.6|0.0|0.0|0.0|0.0|65.0|Stainless|12|6.594869217808645|7.9125720058840106|18.62972271653279|12.819939635193295|13.946239636547194|5.388053474858419|5.160558545351462|6.776368250520826|17.723216412378427|16.095998954191483|13.361909481806856|5.351270877090787|4.651053205282363|19.80615119098105|11.358097943268886
